county,precinct,office,district,party,candidate,votes,election_day,absentee,mail
Kansas City,"W17-P1,2,4,10,12,15,16",U.S. House,5,REP,WELDON (WILBUR) WOODWARD,0,0,0,0
Kansas City,"W17-P1,2,4,10,12,15,16",U.S. House,5,REP,RICHONDA OAKS,1,1,0,0
Kansas City,"W17-P1,2,4,10,12,15,16",U.S. House,5,REP,R H (TWIN BEARS) HESS,0,0,0,0
Kansas City,"W17-P1,2,4,10,12,15,16",U.S. House,5,REP,JERRY W BARHAM,0,0,0,0
Kansas City,"W17-P1,2,4,10,12,15,16",U.S. House,5,REP,Total Votes Cast,11,11,0,0
Kansas City,"W17-P1,2,4,10,12,15,16",State House,9,REP,DAVID MARTIN,11,11,0,0
Kansas City,"W17-P1,2,4,10,12,15,16",State House,9,REP,Total Votes Cast,11,11,0,0
Kansas City,"W17-P1,2,4,10,12,15,16",State House,26,REP,No Candidate Filed,0,0,0,0
Kansas City,"W17-P1,2,4,10,12,15,16",State House,26,REP,Total Votes Cast,0,0,0,0
Kansas City,"W17-P1,2,4,10,12,15,16",PROSECUTING ATTORNEY Jackson County,,REP,TRACEY CHAPPELL,11,11,0,0
Kansas City,"W17-P1,2,4,10,12,15,16",PROSECUTING ATTORNEY Jackson County,,REP,Total Votes Cast,11,11,0,0
Kansas City,"W17-P1,2,4,10,12,15,16",SHERIFF Jackson County,,REP,No Candidate Filed,0,0,0,0
Kansas City,"W17-P1,2,4,10,12,15,16",SHERIFF Jackson County,,REP,Total Votes Cast,0,0,0,0
Kansas City,"W17-P1,2,4,10,12,15,16",COUNTY COMMITTEEMAN Ward 17,,REP,R. DAVID JAY,10,10,0,0
Kansas City,"W17-P1,2,4,10,12,15,16",COUNTY COMMITTEEMAN Ward 17,,REP,Write-In Totals,1,1,0,0
Kansas City,"W17-P1,2,4,10,12,15,16",COUNTY COMMITTEEMAN Ward 17,,REP,Total Votes Cast,11,11,0,0
Kansas City,"W17-P1,2,4,10,12,15,16",COUNTY COMMITTEEWOMAN Ward 17,,REP,No Candidate Filed,0,0,0,0
Kansas City,"W17-P1,2,4,10,12,15,16",COUNTY COMMITTEEWOMAN Ward 17,,REP,Write-In Totals,1,1,0,0
Kansas City,"W17-P1,2,4,10,12,15,16",COUNTY COMMITTEEWOMAN Ward 17,,REP,Total Votes Cast,1,1,0,0
Kansas City,"W17-P1,2,4,10,12,15,16",GOVERNOR,,DEM,NICOLE GALLOWAY,405,322,20,63
Kansas City,"W17-P1,2,4,10,12,15,16",GOVERNOR,,DEM,JIMMIE MATTHEWS,15,12,1,2
Kansas City,"W17-P1,2,4,10,12,15,16",GOVERNOR,,DEM,ANTOIN JOHNSON,29,19,2,8
Kansas City,"W17-P1,2,4,10,12,15,16",GOVERNOR,,DEM,ERIC MORRISON,195,182,0,13
Kansas City,"W17-P1,2,4,10,12,15,16",GOVERNOR,,DEM,ROBIN JOHN DANIEL VAN QUAETHEM,4,3,0,1
Kansas City,"W17-P1,2,4,10,12,15,16",GOVERNOR,,DEM,Total Votes Cast,648,538,23,87
Kansas City,"W17-P1,2,4,10,12,15,16",LIEUTENANT GOVERNOR,,DEM,GREGORY A UPCHURCH,87,71,3,13
Kansas City,"W17-P1,2,4,10,12,15,16",LIEUTENANT GOVERNOR,,DEM,ALISSIA CANADY,541,449,20,72
Kansas City,"W17-P1,2,4,10,12,15,16",LIEUTENANT GOVERNOR,,DEM,Total Votes Cast,628,520,23,85
Kansas City,"W17-P1,2,4,10,12,15,16",SECRETARY OF STATE,,DEM,YINKA FALETI,608,506,22,80
Kansas City,"W17-P1,2,4,10,12,15,16",SECRETARY OF STATE,,DEM,Total Votes Cast,608,506,22,80
Kansas City,"W17-P1,2,4,10,12,15,16",STATE TREASURER,,DEM,VICKI LORENZ ENGLUND,605,502,23,80
Kansas City,"W17-P1,2,4,10,12,15,16",STATE TREASURER,,DEM,Total Votes Cast,605,502,23,80
Kansas City,"W17-P1,2,4,10,12,15,16",ATTORNEY GENERAL,,DEM,RICH FINNERAN,458,400,14,44
Kansas City,"W17-P1,2,4,10,12,15,16",ATTORNEY GENERAL,,DEM,ELAD GROSS,157,108,9,40
Kansas City,"W17-P1,2,4,10,12,15,16",ATTORNEY GENERAL,,DEM,Total Votes Cast,615,508,23,84
Kansas City,"W17-P1,2,4,10,12,15,16",U.S. House,5,DEM,EMANUEL CLEAVER II,611,502,22,87
Kansas City,"W17-P1,2,4,10,12,15,16",U.S. House,5,DEM,MAITE SALAZAR,45,40,2,3
Kansas City,"W17-P1,2,4,10,12,15,16",U.S. House,5,DEM,Total Votes Cast,656,542,24,90
Kansas City,"W17-P1,2,4,10,12,15,16",State House,9,DEM,BARBARA ANNE WASHINGTON,604,509,23,72
Kansas City,"W17-P1,2,4,10,12,15,16",State House,9,DEM,RYAN MYERS,33,22,1,10
Kansas City,"W17-P1,2,4,10,12,15,16",State House,9,DEM,Total Votes Cast,637,531,24,82
Kansas City,"W17-P1,2,4,10,12,15,16",State House,26,DEM,ASHLEY BLAND MANLOVE,501,404,21,76
Kansas City,"W17-P1,2,4,10,12,15,16",State House,26,DEM,JAMIE T. BRADEN,143,128,3,12
Kansas City,"W17-P1,2,4,10,12,15,16",State House,26,DEM,Total Votes Cast,644,532,24,88
Kansas City,"W17-P1,2,4,10,12,15,16",PROSECUTING ATTORNEY Jackson County,,DEM,JEAN PETERS BAKER,602,496,21,85
Kansas City,"W17-P1,2,4,10,12,15,16",PROSECUTING ATTORNEY Jackson County,,DEM,Total Votes Cast,602,496,21,85
Kansas City,"W17-P1,2,4,10,12,15,16",SHERIFF Jackson County,,DEM,DARRYL FORTÈ,606,496,21,89
Kansas City,"W17-P1,2,4,10,12,15,16",SHERIFF Jackson County,,DEM,MIKE SHARP,48,43,3,2
Kansas City,"W17-P1,2,4,10,12,15,16",SHERIFF Jackson County,,DEM,Total Votes Cast,654,539,24,91
Kansas City,"W17-P1,2,4,10,12,15,16",COUNTY COMMITTEEMAN Ward 17,,DEM,CRAIG C. BLAND,600,492,24,84
Kansas City,"W17-P1,2,4,10,12,15,16",COUNTY COMMITTEEMAN Ward 17,,DEM,Write-In Totals,11,10,0,1
Kansas City,"W17-P1,2,4,10,12,15,16",COUNTY COMMITTEEMAN Ward 17,,DEM,Total Votes Cast,611,502,24,85
Kansas City,"W17-P1,2,4,10,12,15,16",COUNTY COMMITTEEWOMAN Ward 17,,DEM,MELISSA A. DOUGLAS,551,460,22,69
Kansas City,"W17-P1,2,4,10,12,15,16",COUNTY COMMITTEEWOMAN Ward 17,,DEM,MARVOUNEEN SOWELL,69,49,2,18
Kansas City,"W17-P1,2,4,10,12,15,16",COUNTY COMMITTEEWOMAN Ward 17,,DEM,Write-In Totals,4,4,0,0
Kansas City,"W17-P1,2,4,10,12,15,16",COUNTY COMMITTEEWOMAN Ward 17,,DEM,Total Votes Cast,624,513,24,87
Kansas City,"W17-P1,2,4,10,12,15,16",GOVERNOR,,LIB,RIK COMBS,2,2,0,0
Kansas City,"W17-P1,2,4,10,12,15,16",GOVERNOR,,LIB,Total Votes Cast,2,2,0,0
Kansas City,"W17-P1,2,4,10,12,15,16",LIEUTENANT GOVERNOR,,LIB,BILL SLANTZ,2,2,0,0
Kansas City,"W17-P1,2,4,10,12,15,16",LIEUTENANT GOVERNOR,,LIB,Total Votes Cast,2,2,0,0
Kansas City,"W17-P1,2,4,10,12,15,16",SECRETARY OF STATE,,LIB,CARL HERMAN FREESE,2,2,0,0
Kansas City,"W17-P1,2,4,10,12,15,16",SECRETARY OF STATE,,LIB,Total Votes Cast,2,2,0,0
Kansas City,"W17-P1,2,4,10,12,15,16",STATE TREASURER,,LIB,NICHOLAS (NICK) KASOFF,2,2,0,0
Kansas City,"W17-P1,2,4,10,12,15,16",STATE TREASURER,,LIB,Total Votes Cast,2,2,0,0
Kansas City,"W17-P1,2,4,10,12,15,16",ATTORNEY GENERAL,,LIB,KEVIN C BABCOCK,2,2,0,0
Kansas City,"W17-P1,2,4,10,12,15,16",ATTORNEY GENERAL,,LIB,Total Votes Cast,2,2,0,0
Kansas City,"W17-P1,2,4,10,12,15,16",U.S. House,5,LIB,ROBIN DOMINICK,2,2,0,0
Kansas City,"W17-P1,2,4,10,12,15,16",U.S. House,5,LIB,Total Votes Cast,2,2,0,0
Kansas City,"W17-P1,2,4,10,12,15,16",State House,9,LIB,No Candidate Filed,0,0,0,0
Kansas City,"W17-P1,2,4,10,12,15,16",State House,9,LIB,Total Votes Cast,0,0,0,0
Kansas City,"W17-P1,2,4,10,12,15,16",State House,26,LIB,No Candidate Filed,0,0,0,0
Kansas City,"W17-P1,2,4,10,12,15,16",State House,26,LIB,Total Votes Cast,0,0,0,0
Kansas City,"W17-P1,2,4,10,12,15,16",PROSECUTING ATTORNEY Jackson County,,LIB,No Candidate Filed,0,0,0,0
Kansas City,"W17-P1,2,4,10,12,15,16",PROSECUTING ATTORNEY Jackson County,,LIB,Total Votes Cast,0,0,0,0
Kansas City,"W17-P1,2,4,10,12,15,16",SHERIFF Jackson County,,LIB,No Candidate Filed,0,0,0,0
Kansas City,"W17-P1,2,4,10,12,15,16",SHERIFF Jackson County,,LIB,Total Votes Cast,0,0,0,0
Kansas City,"W17-P1,2,4,10,12,15,16",COUNTY COMMITTEEMAN Ward 17,,LIB,No Candidate Filed,0,0,0,0
Kansas City,"W17-P1,2,4,10,12,15,16",COUNTY COMMITTEEMAN Ward 17,,LIB,Write-In Totals,0,0,0,0
Kansas City,"W17-P1,2,4,10,12,15,16",COUNTY COMMITTEEMAN Ward 17,,LIB,Total Votes Cast,0,0,0,0
Kansas City,"W17-P1,2,4,10,12,15,16",COUNTY COMMITTEEWOMAN Ward 17,,LIB,No Candidate Filed,0,0,0,0
Kansas City,"W17-P1,2,4,10,12,15,16",COUNTY COMMITTEEWOMAN Ward 17,,LIB,Write-In Totals,0,0,0,0
Kansas City,"W17-P1,2,4,10,12,15,16",COUNTY COMMITTEEWOMAN Ward 17,,LIB,Total Votes Cast,0,0,0,0
Kansas City,"W17-P1,2,4,10,12,15,16",GOVERNOR,,GRE,JEROME HOWARD BAUER,3,3,0,0
Kansas City,"W17-P1,2,4,10,12,15,16",GOVERNOR,,GRE,Total Votes Cast,3,3,0,0
Kansas City,"W17-P1,2,4,10,12,15,16",LIEUTENANT GOVERNOR,,GRE,KELLEY DRAGOO,3,3,0,0
Kansas City,"W17-P1,2,4,10,12,15,16",LIEUTENANT GOVERNOR,,GRE,Total Votes Cast,3,3,0,0
Kansas City,"W17-P1,2,4,10,12,15,16",SECRETARY OF STATE,,GRE,PAUL LEHMANN,3,3,0,0
Kansas City,"W17-P1,2,4,10,12,15,16",SECRETARY OF STATE,,GRE,Total Votes Cast,3,3,0,0
Kansas City,"W17-P1,2,4,10,12,15,16",STATE TREASURER,,GRE,JOSEPH CIVETTINI,3,3,0,0
Kansas City,"W17-P1,2,4,10,12,15,16",STATE TREASURER,,GRE,Total Votes Cast,3,3,0,0
Kansas City,"W17-P1,2,4,10,12,15,16",ATTORNEY GENERAL,,GRE,No Candidate Filed,0,0,0,0
Kansas City,"W17-P1,2,4,10,12,15,16",ATTORNEY GENERAL,,GRE,Total Votes Cast,0,0,0,0
Kansas City,"W17-P1,2,4,10,12,15,16",U.S. House,5,GRE,No Candidate Filed,0,0,0,0
Kansas City,"W17-P1,2,4,10,12,15,16",U.S. House,5,GRE,Total Votes Cast,0,0,0,0
Kansas City,"W17-P1,2,4,10,12,15,16",State House,9,GRE,No Candidate Filed,0,0,0,0
Kansas City,"W17-P1,2,4,10,12,15,16",State House,9,GRE,Total Votes Cast,0,0,0,0
Kansas City,"W17-P1,2,4,10,12,15,16",State House,26,GRE,No Candidate Filed,0,0,0,0
Kansas City,"W17-P1,2,4,10,12,15,16",State House,26,GRE,Total Votes Cast,0,0,0,0
Kansas City,"W17-P1,2,4,10,12,15,16",PROSECUTING ATTORNEY Jackson County,,GRE,No Candidate Filed,0,0,0,0
Kansas City,"W17-P1,2,4,10,12,15,16",PROSECUTING ATTORNEY Jackson County,,GRE,Total Votes Cast,0,0,0,0
Kansas City,"W17-P1,2,4,10,12,15,16",SHERIFF Jackson County,,GRE,No Candidate Filed,0,0,0,0
Kansas City,"W17-P1,2,4,10,12,15,16",SHERIFF Jackson County,,GRE,Total Votes Cast,0,0,0,0
Kansas City,"W17-P1,2,4,10,12,15,16",COUNTY COMMITTEEMAN Ward 17,,GRE,No Candidate Filed,0,0,0,0
Kansas City,"W17-P1,2,4,10,12,15,16",COUNTY COMMITTEEMAN Ward 17,,GRE,Write-In Totals,0,0,0,0
Kansas City,"W17-P1,2,4,10,12,15,16",COUNTY COMMITTEEMAN Ward 17,,GRE,Total Votes Cast,0,0,0,0
Kansas City,"W17-P1,2,4,10,12,15,16",COUNTY COMMITTEEWOMAN Ward 17,,GRE,No Candidate Filed,0,0,0,0
Kansas City,"W17-P1,2,4,10,12,15,16",COUNTY COMMITTEEWOMAN Ward 17,,GRE,Write-In Totals,0,0,0,0
Kansas City,"W17-P1,2,4,10,12,15,16",COUNTY COMMITTEEWOMAN Ward 17,,GRE,Total Votes Cast,0,0,0,0
Kansas City,"W17-P1,2,4,10,12,15,16",GOVERNOR,,CON,No Candidate Filed,0,0,0,0
Kansas City,"W17-P1,2,4,10,12,15,16",GOVERNOR,,CON,Total Votes Cast,0,0,0,0
Kansas City,"W17-P1,2,4,10,12,15,16",LIEUTENANT GOVERNOR,,CON,No Candidate Filed,0,0,0,0
Kansas City,"W17-P1,2,4,10,12,15,16",LIEUTENANT GOVERNOR,,CON,Total Votes Cast,0,0,0,0
Kansas City,"W17-P1,2,4,10,12,15,16",SECRETARY OF STATE,,CON,PAUL VENABLE,0,0,0,0
Kansas City,"W17-P1,2,4,10,12,15,16",SECRETARY OF STATE,,CON,Total Votes Cast,0,0,0,0
Kansas City,"W17-P1,2,4,10,12,15,16",STATE TREASURER,,CON,No Candidate Filed,0,0,0,0
Kansas City,"W17-P1,2,4,10,12,15,16",STATE TREASURER,,CON,Total Votes Cast,0,0,0,0
Kansas City,"W17-P1,2,4,10,12,15,16",ATTORNEY GENERAL,,CON,No Candidate Filed,0,0,0,0
Kansas City,"W17-P1,2,4,10,12,15,16",ATTORNEY GENERAL,,CON,Total Votes Cast,0,0,0,0
Kansas City,"W17-P1,2,4,10,12,15,16",U.S. House,5,CON,No Candidate Filed,0,0,0,0
Kansas City,"W17-P1,2,4,10,12,15,16",U.S. House,5,CON,Total Votes Cast,0,0,0,0
Kansas City,"W17-P1,2,4,10,12,15,16",State House,9,CON,No Candidate Filed,0,0,0,0
Kansas City,"W17-P1,2,4,10,12,15,16",State House,9,CON,Total Votes Cast,0,0,0,0
Kansas City,"W17-P1,2,4,10,12,15,16",State House,26,CON,No Candidate Filed,0,0,0,0
Kansas City,"W17-P1,2,4,10,12,15,16",State House,26,CON,Total Votes Cast,0,0,0,0
Kansas City,"W17-P1,2,4,10,12,15,16",PROSECUTING ATTORNEY Jackson County,,CON,No Candidate Filed,0,0,0,0
Kansas City,"W17-P1,2,4,10,12,15,16",PROSECUTING ATTORNEY Jackson County,,CON,Total Votes Cast,0,0,0,0
Kansas City,"W17-P1,2,4,10,12,15,16",SHERIFF Jackson County,,CON,No Candidate Filed,0,0,0,0
Kansas City,"W17-P1,2,4,10,12,15,16",SHERIFF Jackson County,,CON,Total Votes Cast,0,0,0,0
Kansas City,"W17-P1,2,4,10,12,15,16",COUNTY COMMITTEEMAN Ward 17,,CON,No Candidate Filed,0,0,0,0
Kansas City,"W17-P1,2,4,10,12,15,16",COUNTY COMMITTEEMAN Ward 17,,CON,Write-In Totals,0,0,0,0
Kansas City,"W17-P1,2,4,10,12,15,16",COUNTY COMMITTEEMAN Ward 17,,CON,Total Votes Cast,0,0,0,0
Kansas City,"W17-P1,2,4,10,12,15,16",COUNTY COMMITTEEWOMAN Ward 17,,CON,No Candidate Filed,0,0,0,0
Kansas City,"W17-P1,2,4,10,12,15,16",COUNTY COMMITTEEWOMAN Ward 17,,CON,Write-In Totals,0,0,0,0
Kansas City,"W17-P1,2,4,10,12,15,16",COUNTY COMMITTEEWOMAN Ward 17,,CON,Total Votes Cast,0,0,0,0
Kansas City,"W17-P6,5,7,8,9,11,13,14",Ballots Cast,,,,1125,905,47,173
Kansas City,"W17-P6,5,7,8,9,11,13,14",Ballots Cast,,NON,,7,6,1,0
Kansas City,"W17-P6,5,7,8,9,11,13,14",Ballots Cast,,REP,,62,57,3,2
Kansas City,"W17-P6,5,7,8,9,11,13,14",Ballots Cast,,DEM,,1045,832,43,170
Kansas City,"W17-P6,5,7,8,9,11,13,14",Ballots Cast,,LIB,,9,8,0,1
Kansas City,"W17-P6,5,7,8,9,11,13,14",Ballots Cast,,GRE,,0,0,0,0
Kansas City,"W17-P6,5,7,8,9,11,13,14",Ballots Cast,,CON,,2,2,0,0
Kansas City,"W17-P6,5,7,8,9,11,13,14",CONSTITUTIONAL AMENDMENT NO. 2,,,Yes,988,789,39,160
Kansas City,"W17-P6,5,7,8,9,11,13,14",CONSTITUTIONAL AMENDMENT NO. 2,,,No,107,92,8,7
Kansas City,"W17-P6,5,7,8,9,11,13,14",CONSTITUTIONAL AMENDMENT NO. 2,,,Total Votes Cast,1095,881,47,167
Kansas City,"W17-P6,5,7,8,9,11,13,14",GOVERNOR,,REP,RALEIGH RITTER,4,4,0,0
Kansas City,"W17-P6,5,7,8,9,11,13,14",GOVERNOR,,REP,MIKE PARSON,47,42,3,2
Kansas City,"W17-P6,5,7,8,9,11,13,14",GOVERNOR,,REP,JAMES W. (JIM) NEELY,3,3,0,0
Kansas City,"W17-P6,5,7,8,9,11,13,14",GOVERNOR,,REP,SAUNDRA MCDOWELL,7,7,0,0
Kansas City,"W17-P6,5,7,8,9,11,13,14",GOVERNOR,,REP,Total Votes Cast,61,56,3,2
Kansas City,"W17-P6,5,7,8,9,11,13,14",LIEUTENANT GOVERNOR,,REP,ARNIE C. AC DIENOFF,4,4,0,0
Kansas City,"W17-P6,5,7,8,9,11,13,14",LIEUTENANT GOVERNOR,,REP,MIKE KEHOE,19,17,1,1
Kansas City,"W17-P6,5,7,8,9,11,13,14",LIEUTENANT GOVERNOR,,REP,AARON T WISDOM,10,10,0,0
Kansas City,"W17-P6,5,7,8,9,11,13,14",LIEUTENANT GOVERNOR,,REP,MIKE CARTER,22,19,2,1
Kansas City,"W17-P6,5,7,8,9,11,13,14",LIEUTENANT GOVERNOR,,REP,Total Votes Cast,55,50,3,2
Kansas City,"W17-P6,5,7,8,9,11,13,14",SECRETARY OF STATE,,REP,JOHN R. (JAY) ASHCROFT,56,52,3,1
Kansas City,"W17-P6,5,7,8,9,11,13,14",SECRETARY OF STATE,,REP,Total Votes Cast,56,52,3,1
Kansas City,"W17-P6,5,7,8,9,11,13,14",STATE TREASURER,,REP,SCOTT FITZPATRICK,52,48,3,1
Kansas City,"W17-P6,5,7,8,9,11,13,14",STATE TREASURER,,REP,Total Votes Cast,52,48,3,1
Kansas City,"W17-P6,5,7,8,9,11,13,14",ATTORNEY GENERAL,,REP,ERIC SCHMITT,50,46,3,1
Kansas City,"W17-P6,5,7,8,9,11,13,14",ATTORNEY GENERAL,,REP,Total Votes Cast,50,46,3,1
Kansas City,"W17-P6,5,7,8,9,11,13,14",U.S. House,5,REP,CLAY CHASTAIN,15,14,0,1
Kansas City,"W17-P6,5,7,8,9,11,13,14",U.S. House,5,REP,RYAN DERKS,20,18,2,0
Kansas City,"W17-P6,5,7,8,9,11,13,14",U.S. House,5,REP,WELDON (WILBUR) WOODWARD,5,5,0,0
Kansas City,"W17-P6,5,7,8,9,11,13,14",U.S. House,5,REP,RICHONDA OAKS,4,3,1,0
Kansas City,"W17-P6,5,7,8,9,11,13,14",U.S. House,5,REP,R H (TWIN BEARS) HESS,5,5,0,0
Kansas City,"W17-P6,5,7,8,9,11,13,14",U.S. House,5,REP,JERRY W BARHAM,10,9,0,1
Kansas City,"W17-P6,5,7,8,9,11,13,14",U.S. House,5,REP,Total Votes Cast,59,54,3,2
Kansas City,"W17-P6,5,7,8,9,11,13,14",State House,9,REP,DAVID MARTIN,50,46,3,1
Kansas City,"W17-P6,5,7,8,9,11,13,14",State House,9,REP,Total Votes Cast,50,46,3,1
Kansas City,"W17-P6,5,7,8,9,11,13,14",State House,27,REP,No Candidate Filed,0,0,0,0
Kansas City,"W17-P6,5,7,8,9,11,13,14",State House,27,REP,Total Votes Cast,0,0,0,0
Kansas City,"W17-P6,5,7,8,9,11,13,14",PROSECUTING ATTORNEY Jackson County,,REP,TRACEY CHAPPELL,49,46,2,1
Kansas City,"W17-P6,5,7,8,9,11,13,14",PROSECUTING ATTORNEY Jackson County,,REP,Total Votes Cast,49,46,2,1
Kansas City,"W17-P6,5,7,8,9,11,13,14",SHERIFF Jackson County,,REP,No Candidate Filed,0,0,0,0
Kansas City,"W17-P6,5,7,8,9,11,13,14",SHERIFF Jackson County,,REP,Total Votes Cast,0,0,0,0
Kansas City,"W17-P6,5,7,8,9,11,13,14",COUNTY COMMITTEEMAN Ward 17,,REP,R. DAVID JAY,46,42,3,1
Kansas City,"W17-P6,5,7,8,9,11,13,14",COUNTY COMMITTEEMAN Ward 17,,REP,Write-In Totals,1,1,0,0
Kansas City,"W17-P6,5,7,8,9,11,13,14",COUNTY COMMITTEEMAN Ward 17,,REP,Total Votes Cast,47,43,3,1
Kansas City,"W17-P6,5,7,8,9,11,13,14",COUNTY COMMITTEEWOMAN Ward 17,,REP,No Candidate Filed,0,0,0,0
Kansas City,"W17-P6,5,7,8,9,11,13,14",COUNTY COMMITTEEWOMAN Ward 17,,REP,Write-In Totals,5,5,0,0
Kansas City,"W17-P6,5,7,8,9,11,13,14",COUNTY COMMITTEEWOMAN Ward 17,,REP,Total Votes Cast,5,5,0,0
Kansas City,"W17-P6,5,7,8,9,11,13,14",GOVERNOR,,DEM,NICOLE GALLOWAY,733,597,25,111
Kansas City,"W17-P6,5,7,8,9,11,13,14",GOVERNOR,,DEM,JIMMIE MATTHEWS,19,12,2,5
Kansas City,"W17-P6,5,7,8,9,11,13,14",GOVERNOR,,DEM,ANTOIN JOHNSON,39,29,4,6
Kansas City,"W17-P6,5,7,8,9,11,13,14",GOVERNOR,,DEM,ERIC MORRISON,201,152,12,37
Kansas City,"W17-P6,5,7,8,9,11,13,14",GOVERNOR,,DEM,ROBIN JOHN DANIEL VAN QUAETHEM,13,11,0,2
Kansas City,"W17-P6,5,7,8,9,11,13,14",GOVERNOR,,DEM,Total Votes Cast,1005,801,43,161
Kansas City,"W17-P6,5,7,8,9,11,13,14",LIEUTENANT GOVERNOR,,DEM,GREGORY A UPCHURCH,140,119,6,15
Kansas City,"W17-P6,5,7,8,9,11,13,14",LIEUTENANT GOVERNOR,,DEM,ALISSIA CANADY,853,668,37,148
Kansas City,"W17-P6,5,7,8,9,11,13,14",LIEUTENANT GOVERNOR,,DEM,Total Votes Cast,993,787,43,163
Kansas City,"W17-P6,5,7,8,9,11,13,14",SECRETARY OF STATE,,DEM,YINKA FALETI,952,758,37,157
Kansas City,"W17-P6,5,7,8,9,11,13,14",SECRETARY OF STATE,,DEM,Total Votes Cast,952,758,37,157
Kansas City,"W17-P6,5,7,8,9,11,13,14",STATE TREASURER,,DEM,VICKI LORENZ ENGLUND,945,752,35,158
Kansas City,"W17-P6,5,7,8,9,11,13,14",STATE TREASURER,,DEM,Total Votes Cast,945,752,35,158
Kansas City,"W17-P6,5,7,8,9,11,13,14",ATTORNEY GENERAL,,DEM,RICH FINNERAN,722,598,26,98
Kansas City,"W17-P6,5,7,8,9,11,13,14",ATTORNEY GENERAL,,DEM,ELAD GROSS,236,165,11,60
Kansas City,"W17-P6,5,7,8,9,11,13,14",ATTORNEY GENERAL,,DEM,Total Votes Cast,958,763,37,158
Kansas City,"W17-P6,5,7,8,9,11,13,14",U.S. House,5,DEM,EMANUEL CLEAVER II,979,771,41,167
Kansas City,"W17-P6,5,7,8,9,11,13,14",U.S. House,5,DEM,MAITE SALAZAR,57,53,2,2
Kansas City,"W17-P6,5,7,8,9,11,13,14",U.S. House,5,DEM,Total Votes Cast,1036,824,43,169
Kansas City,"W17-P6,5,7,8,9,11,13,14",State House,9,DEM,BARBARA ANNE WASHINGTON,896,716,37,143
Kansas City,"W17-P6,5,7,8,9,11,13,14",State House,9,DEM,RYAN MYERS,118,94,4,20
Kansas City,"W17-P6,5,7,8,9,11,13,14",State House,9,DEM,Total Votes Cast,1014,810,41,163
Kansas City,"W17-P6,5,7,8,9,11,13,14",State House,27,DEM,RICHARD BROWN,948,749,36,163
Kansas City,"W17-P6,5,7,8,9,11,13,14",State House,27,DEM,Total Votes Cast,948,749,36,163
Kansas City,"W17-P6,5,7,8,9,11,13,14",PROSECUTING ATTORNEY Jackson County,,DEM,JEAN PETERS BAKER,937,735,37,165
Kansas City,"W17-P6,5,7,8,9,11,13,14",PROSECUTING ATTORNEY Jackson County,,DEM,Total Votes Cast,937,735,37,165
Kansas City,"W17-P6,5,7,8,9,11,13,14",SHERIFF Jackson County,,DEM,DARRYL FORTÈ,941,748,37,156
Kansas City,"W17-P6,5,7,8,9,11,13,14",SHERIFF Jackson County,,DEM,MIKE SHARP,93,76,5,12
Kansas City,"W17-P6,5,7,8,9,11,13,14",SHERIFF Jackson County,,DEM,Total Votes Cast,1034,824,42,168
Kansas City,"W17-P6,5,7,8,9,11,13,14",COUNTY COMMITTEEMAN Ward 17,,DEM,CRAIG C. BLAND,915,719,37,159
Kansas City,"W17-P6,5,7,8,9,11,13,14",COUNTY COMMITTEEMAN Ward 17,,DEM,Write-In Totals,21,20,1,0
Kansas City,"W17-P6,5,7,8,9,11,13,14",COUNTY COMMITTEEMAN Ward 17,,DEM,Total Votes Cast,936,739,38,159
Kansas City,"W17-P6,5,7,8,9,11,13,14",COUNTY COMMITTEEWOMAN Ward 17,,DEM,MELISSA A. DOUGLAS,851,689,31,131
Kansas City,"W17-P6,5,7,8,9,11,13,14",COUNTY COMMITTEEWOMAN Ward 17,,DEM,MARVOUNEEN SOWELL,105,72,5,28
Kansas City,"W17-P6,5,7,8,9,11,13,14",COUNTY COMMITTEEWOMAN Ward 17,,DEM,Write-In Totals,11,11,0,0
Kansas City,"W17-P6,5,7,8,9,11,13,14",COUNTY COMMITTEEWOMAN Ward 17,,DEM,Total Votes Cast,967,772,36,159
Kansas City,"W17-P6,5,7,8,9,11,13,14",GOVERNOR,,LIB,RIK COMBS,6,5,0,1
Kansas City,"W17-P6,5,7,8,9,11,13,14",GOVERNOR,,LIB,Total Votes Cast,6,5,0,1
Kansas City,"W17-P6,5,7,8,9,11,13,14",LIEUTENANT GOVERNOR,,LIB,BILL SLANTZ,5,4,0,1
Kansas City,"W17-P6,5,7,8,9,11,13,14",LIEUTENANT GOVERNOR,,LIB,Total Votes Cast,5,4,0,1
Kansas City,"W17-P6,5,7,8,9,11,13,14",SECRETARY OF STATE,,LIB,CARL HERMAN FREESE,5,4,0,1
Kansas City,"W17-P6,5,7,8,9,11,13,14",SECRETARY OF STATE,,LIB,Total Votes Cast,5,4,0,1
Kansas City,"W17-P6,5,7,8,9,11,13,14",STATE TREASURER,,LIB,NICHOLAS (NICK) KASOFF,5,4,0,1
Kansas City,"W17-P6,5,7,8,9,11,13,14",STATE TREASURER,,LIB,Total Votes Cast,5,4,0,1
Kansas City,"W17-P6,5,7,8,9,11,13,14",ATTORNEY GENERAL,,LIB,KEVIN C BABCOCK,6,5,0,1
Kansas City,"W17-P6,5,7,8,9,11,13,14",ATTORNEY GENERAL,,LIB,Total Votes Cast,6,5,0,1
Kansas City,"W17-P6,5,7,8,9,11,13,14",U.S. House,5,LIB,ROBIN DOMINICK,5,4,0,1
